user,degree,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality
MilkRoad,4,0,4,0.02531645569620253,0.0,0.02531645569620253,0.0
natbrunell,3,0,3,0.0189873417721519,0.0,0.0189873417721519,0.0
saylor,3,1,2,0.0189873417721519,0.006329113924050633,0.012658227848101266,8.062565508344755e-05
